compsyn_id,component_id,component_synonym,syn_type
1162370,1,GABA(A) receptor subunit pi,UNIPROT
1162368,1,Gabrp,GENE_SYMBOL
1162369,1,Gamma-aminobutyric acid receptor subunit pi,UNIPROT
1162374,2,Acetylcholine receptor subunit alpha,UNIPROT
861030,2,ACHRA,GENE_SYMBOL_OTHER
861031,2,CHNRA,GENE_SYMBOL_OTHER
1162371,2,CHRNA1,GENE_SYMBOL
1162378,3,Antigen NY-CO-13,UNIPROT
1162377,3,Cellular tumor antigen p53,UNIPROT
861036,3,P53,GENE_SYMBOL_OTHER
1162379,3,Phosphoprotein p53,UNIPROT
1162375,3,TP53,GENE_SYMBOL
1162380,3,Tumor suppressor p53,UNIPROT
861043,4,Acra3,GENE_SYMBOL_OTHER
1162381,4,Chrna3,GENE_SYMBOL
1162383,4,Neuronal acetylcholine receptor subunit alpha-3,UNIPROT
1162388,5,CD_antigen=CD61,UNIPROT
861047,5,GP3A,GENE_SYMBOL_OTHER
1162389,5,GPIIIa,UNIPROT
1162386,5,Integrin beta-3,UNIPROT
1162384,5,ITGB3,GENE_SYMBOL
1162387,5,Platelet membrane glycoprotein IIIa,UNIPROT
1162398,6,CD_antigen=CD29,UNIPROT
1162395,6,Fibronectin receptor subunit beta,UNIPROT
861054,6,FNRB,GENE_SYMBOL_OTHER
1162396,6,Glycoprotein IIa,UNIPROT
1162399,6,GPIIA,UNIPROT
1162394,6,Integrin beta-1,UNIPROT
1162390,6,ITGB1,GENE_SYMBOL
861055,6,MDF2,GENE_SYMBOL_OTHER
861056,6,MSK12,GENE_SYMBOL_OTHER
1162397,6,VLA-4 subunit beta,UNIPROT
1162410,7,2.7.11.22,EC_NUMBER
1162411,7,2.7.11.23,EC_NUMBER
861067,7,CDC2,GENE_SYMBOL_OTHER
861068,7,CDC28A,GENE_SYMBOL_OTHER
1162400,7,CDK1,GENE_SYMBOL
1162409,7,CDK1,UNIPROT
861069,7,CDKN1,GENE_SYMBOL_OTHER
1162406,7,Cell division control protein 2 homolog,UNIPROT
1162407,7,Cell division protein kinase 1,UNIPROT
1162405,7,Cyclin-dependent kinase 1,UNIPROT
1162408,7,p34 protein kinase,UNIPROT
861070,7,P34CDC2,GENE_SYMBOL_OTHER
1162420,8,CD_antigen=CD51,UNIPROT
1162415,8,Integrin alpha-V,UNIPROT
1162416,8,Integrin alpha-V heavy chain,UNIPROT
1162417,8,Integrin alpha-V light chain,UNIPROT
1162412,8,ITGAV,GENE_SYMBOL
1162418,8,Vitronectin receptor,UNIPROT
1162419,8,Vitronectin receptor subunit alpha,UNIPROT
861084,8,VNRA,GENE_SYMBOL_OTHER
1162423,9,Acetylcholine receptor subunit gamma,UNIPROT
861094,9,ACHRG,GENE_SYMBOL_OTHER
1162421,9,CHRNG,GENE_SYMBOL
861098,10,Chrm-1,GENE_SYMBOL_OTHER
1162424,10,Chrm1,GENE_SYMBOL
1162426,10,Muscarinic acetylcholine receptor M1,UNIPROT
861102,11,Chrm-3,GENE_SYMBOL_OTHER
1162427,11,Chrm3,GENE_SYMBOL
1162429,11,Muscarinic acetylcholine receptor M3,UNIPROT
861106,12,Chrm-4,GENE_SYMBOL_OTHER
1162430,12,Chrm4,GENE_SYMBOL
1162432,12,Muscarinic acetylcholine receptor M4,UNIPROT
861807,13,Chrm-5,GENE_SYMBOL_OTHER
1162735,13,Chrm5,GENE_SYMBOL
1162737,13,Muscarinic acetylcholine receptor M5,UNIPROT
861811,14,Acra4,GENE_SYMBOL_OTHER
1162738,14,Chrna4,GENE_SYMBOL
1162740,14,Neuronal acetylcholine receptor subunit alpha-4,UNIPROT
861815,15,Chrm-2,GENE_SYMBOL_OTHER
1162741,15,Chrm2,GENE_SYMBOL
1162743,15,Muscarinic acetylcholine receptor M2,UNIPROT
1162747,16,Acetylcholine receptor subunit beta,UNIPROT
861819,16,ACHRB,GENE_SYMBOL_OTHER
861820,16,CHRNB,GENE_SYMBOL_OTHER
1162744,16,CHRNB1,GENE_SYMBOL
1162752,17,2.7.11.22,EC_NUMBER
1162748,17,CDK4,GENE_SYMBOL
1162750,17,Cell division protein kinase 4,UNIPROT
1162749,17,Cyclin-dependent kinase 4,UNIPROT
1162751,17,PSK-J3,UNIPROT
861830,18,Acra2,GENE_SYMBOL_OTHER
1162753,18,Chrna2,GENE_SYMBOL
1162755,18,Neuronal acetylcholine receptor subunit alpha-2,UNIPROT
861834,19,Acrb2,GENE_SYMBOL_OTHER
1162756,19,Chrnb2,GENE_SYMBOL
1162760,19,N-alpha 1,UNIPROT
1162759,19,Neuronal acetylcholine receptor non-alpha-1 chain,UNIPROT
1162758,19,Neuronal acetylcholine receptor subunit beta-2,UNIPROT
861840,20,Acrb4,GENE_SYMBOL_OTHER
1162761,20,Chrnb4,GENE_SYMBOL
1162765,20,N-alpha 2,UNIPROT
1162764,20,Neuronal acetylcholine receptor non-alpha-2 chain,UNIPROT
1162763,20,Neuronal acetylcholine receptor subunit beta-4,UNIPROT
1162769,21,CD49 antigen-like family member D,UNIPROT
861846,21,CD49D,GENE_SYMBOL_OTHER
1162772,21,CD_antigen=CD49d,UNIPROT
1162768,21,Integrin alpha-4,UNIPROT
1162770,21,Integrin alpha-IV,UNIPROT
1162766,21,ITGA4,GENE_SYMBOL
1162771,21,VLA-4 subunit alpha,UNIPROT
861854,22,CCNB,GENE_SYMBOL_OTHER
1162773,22,CCNB1,GENE_SYMBOL
1162775,22,G2/mitotic-specific cyclin-B1,UNIPROT
1162778,23,GABA(A) receptor subunit alpha-1,UNIPROT
1162776,23,GABRA1,GENE_SYMBOL
1162777,23,Gamma-aminobutyric acid receptor subunit alpha-1,UNIPROT
1162782,24,GABA(A) receptor subunit beta-1,UNIPROT
861861,24,Gabrb-1,GENE_SYMBOL_OTHER
1162779,24,Gabrb1,GENE_SYMBOL
1162781,24,Gamma-aminobutyric acid receptor subunit beta-1,UNIPROT
1162783,25,Adra1b,GENE_SYMBOL
1162784,25,Alpha-1B adrenergic receptor,UNIPROT
1162786,25,Alpha-1B adrenoceptor,UNIPROT
1162785,25,Alpha-1B adrenoreceptor,UNIPROT
1162300,26,CHRNB2,GENE_SYMBOL
1162301,26,Neuronal acetylcholine receptor subunit beta-2,UNIPROT
1162304,27,GABA(A) receptor subunit delta,UNIPROT
1162302,27,Gabrd,GENE_SYMBOL
1162303,27,Gamma-aminobutyric acid receptor subunit delta,UNIPROT
1162307,28,GABA(A) receptor subunit gamma-2,UNIPROT
1162305,28,Gabrg2,GENE_SYMBOL
1162306,28,Gamma-aminobutyric acid receptor subunit gamma-2,UNIPROT
1162311,29,GABA(A) receptor subunit alpha-5,UNIPROT
860957,29,Gabra-5,GENE_SYMBOL_OTHER
1162308,29,Gabra5,GENE_SYMBOL
1162310,29,Gamma-aminobutyric acid receptor subunit alpha-5,UNIPROT
1162315,30,GABA(A) receptor subunit alpha-3,UNIPROT
860962,30,Gabra-3,GENE_SYMBOL_OTHER
1162312,30,Gabra3,GENE_SYMBOL
1162314,30,Gamma-aminobutyric acid receptor subunit alpha-3,UNIPROT
1162318,31,GABA(A) receptor subunit gamma-1,UNIPROT
1162316,31,Gabrg1,GENE_SYMBOL
1162317,31,Gamma-aminobutyric acid receptor subunit gamma-1,UNIPROT
1162322,32,GABA(A) receptor subunit alpha-2,UNIPROT
860970,32,Gabra-2,GENE_SYMBOL_OTHER
1162319,32,Gabra2,GENE_SYMBOL
1162321,32,Gamma-aminobutyric acid receptor subunit alpha-2,UNIPROT
860975,33,Adra1a,GENE_SYMBOL_OTHER
1162323,33,Adra1d,GENE_SYMBOL
1162326,33,Alpha-1A adrenergic receptor,UNIPROT
1162325,33,Alpha-1D adrenergic receptor,UNIPROT
1162329,33,Alpha-1D adrenoceptor,UNIPROT
1162327,33,Alpha-1D adrenoreceptor,UNIPROT
1162328,33,RA42,UNIPROT
1162334,34,B-cell lymphoma 1 protein,UNIPROT
1162337,34,BCL-1,UNIPROT
1162335,34,BCL-1 oncogene,UNIPROT
860983,34,BCL1,GENE_SYMBOL_OTHER
1162330,34,CCND1,GENE_SYMBOL
1162333,34,G1/S-specific cyclin-D1,UNIPROT
860984,34,PRAD1,GENE_SYMBOL_OTHER
1162336,34,PRAD1 oncogene,UNIPROT
860993,35,CCNE,GENE_SYMBOL_OTHER
1162338,35,CCNE1,GENE_SYMBOL
1162340,35,G1/S-specific cyclin-E1,UNIPROT
1162346,36,2.7.11.22,EC_NUMBER
1162341,36,CDK2,GENE_SYMBOL
860997,36,CDKN2,GENE_SYMBOL_OTHER
1162344,36,Cell division protein kinase 2,UNIPROT
1162343,36,Cyclin-dependent kinase 2,UNIPROT
1162345,36,p33 protein kinase,UNIPROT
1162361,37,2.7.11.24,EC_NUMBER
1162359,37,ERK-1,UNIPROT
861004,37,ERK1,GENE_SYMBOL_OTHER
1162351,37,ERT2,UNIPROT
1162352,37,Extracellular signal-regulated kinase 1,UNIPROT
1162353,37,Insulin-stimulated MAP2 kinase,UNIPROT
1162357,37,MAP kinase 3,UNIPROT
1162354,37,MAP kinase isoform p44,UNIPROT
1162358,37,MAPK 3,UNIPROT
1162347,37,MAPK3,GENE_SYMBOL
1162355,37,Microtubule-associated protein 2 kinase,UNIPROT
1162350,37,Mitogen-activated protein kinase 3,UNIPROT
1162356,37,p44-ERK1,UNIPROT
1162360,37,p44-MAPK,UNIPROT
861005,37,PRKM3,GENE_SYMBOL_OTHER
1162364,38,GABA(A) receptor subunit alpha-4,UNIPROT
1162362,38,Gabra4,GENE_SYMBOL
1162363,38,Gamma-aminobutyric acid receptor subunit alpha-4,UNIPROT
1162367,39,GABA(A) receptor subunit gamma-3,UNIPROT
1162365,39,Gabrg3,GENE_SYMBOL
1162366,39,Gamma-aminobutyric acid receptor subunit gamma-3,UNIPROT
1162802,40,2.7.11.24,EC_NUMBER
1162798,40,ERK-2,UNIPROT
861870,40,ERK2,GENE_SYMBOL_OTHER
1162792,40,ERT1,UNIPROT
1162793,40,Extracellular signal-regulated kinase 2,UNIPROT
1162796,40,MAP kinase 1,UNIPROT
1162800,40,MAP kinase 2,UNIPROT
1162794,40,MAP kinase isoform p42,UNIPROT
1162797,40,MAPK 1,UNIPROT
1162801,40,MAPK 2,UNIPROT
1162787,40,MAPK1,GENE_SYMBOL
1162791,40,Mitogen-activated protein kinase 1,UNIPROT
1162795,40,Mitogen-activated protein kinase 2,UNIPROT
1162799,40,p42-MAPK,UNIPROT
