domain_id,domain_type,source_domain_id,domain_name,domain_description
2627,Pfam-A,PF00001,7tm_1,
2628,Pfam-A,PF00002,7tm_2,
2629,Pfam-A,PF00003,7tm_3,
2630,Pfam-A,PF00004,AAA,
2631,Pfam-A,PF00005,ABC_tran,
2632,Pfam-A,PF00006,ATP-synt_ab,
2633,Pfam-A,PF00008,EGF,
2634,Pfam-A,PF00009,GTP_EFTU,
2635,Pfam-A,PF00010,HLH,
2636,Pfam-A,PF00011,HSP20,
2637,Pfam-A,PF00012,HSP70,
2638,Pfam-A,PF00013,KH_1,
2639,Pfam-A,PF00014,Kunitz_BPTI,
2640,Pfam-A,PF00017,SH2,
2641,Pfam-A,PF00018,SH3_1,
2642,Pfam-A,PF00019,TGF_beta,
2643,Pfam-A,PF00020,TNFR_c6,
2644,Pfam-A,PF00021,UPAR_LY6,
2645,Pfam-A,PF00022,Actin,
2646,Pfam-A,PF00023,Ank,
2647,Pfam-A,PF00024,PAN_1,
2648,Pfam-A,PF00025,Arf,
2649,Pfam-A,PF00026,Asp,
2650,Pfam-A,PF00027,cNMP_binding,
2651,Pfam-A,PF00028,Cadherin,
2652,Pfam-A,PF00031,Cystatin,
2653,Pfam-A,PF00032,Cytochrom_B_C,
2654,Pfam-A,PF00035,dsrm,
2655,Pfam-A,PF00036,EF-hand_1,
2656,Pfam-A,PF00038,Filament,
2657,Pfam-A,PF00039,fn1,
2658,Pfam-A,PF00040,fn2,
2659,Pfam-A,PF00041,fn3,
2660,Pfam-A,PF00042,Globin,
2661,Pfam-A,PF00043,GST_C,
2662,Pfam-A,PF00044,Gp_dh_N,
2663,Pfam-A,PF00045,Hemopexin,
2664,Pfam-A,PF00046,Homeobox,
2665,Pfam-A,PF00047,ig,
2666,Pfam-A,PF00048,IL8,
2667,Pfam-A,PF00049,Insulin,
2668,Pfam-A,PF00051,Kringle,
2669,Pfam-A,PF00053,Laminin_EGF,
2670,Pfam-A,PF00054,Laminin_G_1,
2671,Pfam-A,PF00055,Laminin_N,
2672,Pfam-A,PF00056,Ldh_1_N,
2673,Pfam-A,PF00057,Ldl_recept_a,
2674,Pfam-A,PF00058,Ldl_recept_b,
2675,Pfam-A,PF00059,Lectin_C,
