category,description,parent_key
component,azurophil granule,BE0001075
component,extracellular exosome,BE0001075
component,extracellular space,BE0001075
component,lysosome,BE0001075
component,mitochondrion,BE0001075
component,nucleus,BE0001075
component,secretory granule,BE0001075
function,chromatin binding,BE0001075
function,heme binding,BE0001075
function,heparin binding,BE0001075
function,metal ion binding,BE0001075
function,peroxidase activity,BE0001075
process,defense response,BE0001075
process,defense response to fungus,BE0001075
process,hydrogen peroxide catabolic process,BE0001075
process,hypochlorous acid biosynthetic process,BE0001075
process,low-density lipoprotein particle remodeling,BE0001075
process,negative regulation of apoptotic process,BE0001075
process,negative regulation of growth of symbiont in host,BE0001075
process,oxidation-reduction process,BE0001075
process,removal of superoxide radicals,BE0001075
process,respiratory burst involved in defense response,BE0001075
process,response to oxidative stress,BE0001075
process,response to yeast,BE0001075
component,endoplasmic reticulum membrane,BE0002433
component,intracellular membrane-bounded organelle,BE0002433
function,aromatase activity,BE0002433
function,caffeine oxidase activity,BE0002433
function,demethylase activity,BE0002433
function,electron carrier activity,BE0002433
function,enzyme binding,BE0002433
function,heme binding,BE0002433
function,iron ion binding,BE0002433
function,monooxygenase activity,BE0002433
function,oxidoreductase activity,BE0002433
function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",BE0002433
process,alkaloid metabolic process,BE0002433
process,arachidonic acid metabolic process,BE0002433
process,cellular respiration,BE0002433
process,cellular response to cadmium ion,BE0002433
process,dibenzo-p-dioxin metabolic process,BE0002433
process,drug catabolic process,BE0002433
process,drug metabolic process,BE0002433
process,epoxygenase P450 pathway,BE0002433
process,exogenous drug catabolic process,BE0002433
process,heterocycle metabolic process,BE0002433
process,hydrogen peroxide biosynthetic process,BE0002433
process,lung development,BE0002433
process,methylation,BE0002433
process,monocarboxylic acid metabolic process,BE0002433
process,monoterpenoid metabolic process,BE0002433
process,omega-hydroxylase P450 pathway,BE0002433
process,oxidation-reduction process,BE0002433
process,oxidative deethylation,BE0002433
process,oxidative demethylation,BE0002433
process,porphyrin-containing compound metabolic process,BE0002433
process,post-embryonic development,BE0002433
process,regulation of gene expression,BE0002433
process,response to estradiol,BE0002433
process,response to immobilization stress,BE0002433
process,response to lipopolysaccharide,BE0002433
process,small molecule metabolic process,BE0002433
process,steroid catabolic process,BE0002433
process,toxin biosynthetic process,BE0002433
process,xenobiotic metabolic process,BE0002433
component,extracellular region,BE0001198
component,proteinaceous extracellular matrix,BE0001198
function,calcium ion binding,BE0001198
function,endopeptidase activity,BE0001198
function,metalloendopeptidase activity,BE0001198
function,zinc ion binding,BE0001198
process,collagen catabolic process,BE0001198
process,extracellular matrix disassembly,BE0001198
process,extracellular matrix organization,BE0001198
process,positive regulation of epithelial cell proliferation involved in wound healing,BE0001198
process,proteolysis,BE0001198
process,response to drug,BE0001198
process,response to organic cyclic compound,BE0001198
process,"wound healing, spreading of epidermal cells",BE0001198
component,cell surface,BE0000394
component,cytoplasm,BE0000394
component,extracellular exosome,BE0000394
component,extracellular region,BE0000394
component,extracellular space,BE0000394
component,secretory granule,BE0000394
component,transcriptional repressor complex,BE0000394
function,cytokine binding,BE0000394
function,endopeptidase activity,BE0000394
function,heparin binding,BE0000394
function,peptidase activity,BE0000394
function,protease binding,BE0000394
function,RNA polymerase II transcription corepressor activity,BE0000394
function,serine-type endopeptidase activity,BE0000394
process,acute inflammatory response to antigenic stimulus,BE0000394
process,cellular calcium ion homeostasis,BE0000394
process,collagen catabolic process,BE0000394
process,defense response to bacterium,BE0000394
process,extracellular matrix disassembly,BE0000394
process,extracellular matrix organization,BE0000394
process,leukocyte migration,BE0000394
process,negative regulation of chemokine biosynthetic process,BE0000394
process,negative regulation of chemotaxis,BE0000394
process,negative regulation of growth of symbiont in host,BE0000394
process,negative regulation of inflammatory response,BE0000394
process,negative regulation of interleukin-8 biosynthetic process,BE0000394
process,negative regulation of transcription from RNA polymerase II promoter,BE0000394
process,neutrophil mediated killing of fungus,BE0000394
process,phagocytosis,BE0000394
process,positive regulation of immune response,BE0000394
process,positive regulation of interleukin-8 biosynthetic process,BE0000394
process,positive regulation of MAP kinase activity,BE0000394
process,positive regulation of smooth muscle cell proliferation,BE0000394
process,protein catabolic process,BE0000394
process,proteolysis,BE0000394
process,response to lipopolysaccharide,BE0000394
process,response to UV,BE0000394
process,response to yeast,BE0000394
component,cytoplasm,BE0002363
component,endoplasmic reticulum,BE0002363
component,endoplasmic reticulum membrane,BE0002363
component,mitochondrion,BE0002363
function,arachidonic acid epoxygenase activity,BE0002363
function,aromatase activity,BE0002363
function,drug binding,BE0002363
function,heme binding,BE0002363
function,iron ion binding,BE0002363
function,monooxygenase activity,BE0002363
function,oxidoreductase activity,BE0002363
function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",BE0002363
function,oxygen binding,BE0002363
function,steroid hydroxylase activity,BE0002363
process,alkaloid catabolic process,BE0002363
process,alkaloid metabolic process,BE0002363
process,arachidonic acid metabolic process,BE0002363
process,coumarin metabolic process,BE0002363
process,drug catabolic process,BE0002363
process,drug metabolic process,BE0002363
process,exogenous drug catabolic process,BE0002363
process,heterocycle metabolic process,BE0002363
process,isoquinoline alkaloid metabolic process,BE0002363
process,monoterpenoid metabolic process,BE0002363
process,negative regulation of binding,BE0002363
process,negative regulation of cellular organofluorine metabolic process,BE0002363
process,oxidation-reduction process,BE0002363
process,oxidative demethylation,BE0002363
process,small molecule metabolic process,BE0002363
process,steroid metabolic process,BE0002363
process,xenobiotic metabolic process,BE0002363
component,cytoplasm,BE0002793
component,endoplasmic reticulum membrane,BE0002793
component,intracellular membrane-bounded organelle,BE0002793
function,(R)-limonene 6-monooxygenase activity,BE0002793
function,(S)-limonene 6-monooxygenase activity,BE0002793
function,(S)-limonene 7-monooxygenase activity,BE0002793
function,arachidonic acid epoxygenase activity,BE0002793
function,aromatase activity,BE0002793
function,caffeine oxidase activity,BE0002793
function,drug binding,BE0002793
function,heme binding,BE0002793
function,iron ion binding,BE0002793
function,monooxygenase activity,BE0002793
function,oxidoreductase activity,BE0002793
function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",BE0002793
function,oxygen binding,BE0002793
function,steroid hydroxylase activity,BE0002793
process,arachidonic acid metabolic process,BE0002793
process,cellular amide metabolic process,BE0002793
process,drug catabolic process,BE0002793
process,drug metabolic process,BE0002793
process,epoxygenase P450 pathway,BE0002793
process,exogenous drug catabolic process,BE0002793
process,monocarboxylic acid metabolic process,BE0002793
process,monoterpenoid metabolic process,BE0002793
process,omega-hydroxylase P450 pathway,BE0002793
process,oxidation-reduction process,BE0002793
process,oxidative demethylation,BE0002793
process,small molecule metabolic process,BE0002793
process,steroid metabolic process,BE0002793
process,urea metabolic process,BE0002793
process,xenobiotic metabolic process,BE0002793
component,blood microparticle,BE0000048
component,cytosol,BE0000048
component,endoplasmic reticulum lumen,BE0000048
component,extracellular exosome,BE0000048
component,extracellular matrix,BE0000048
component,extracellular region,BE0000048
component,extracellular space,BE0000048
component,Golgi lumen,BE0000048
component,plasma membrane,BE0000048
function,calcium ion binding,BE0000048
function,growth factor activity,BE0000048
function,receptor binding,BE0000048
function,serine-type endopeptidase activity,BE0000048
function,thrombospondin receptor activity,BE0000048
process,acute-phase response,BE0000048
process,blood coagulation,BE0000048
process,"blood coagulation, intrinsic pathway",BE0000048
process,cell surface receptor signaling pathway,BE0000048
process,cellular protein metabolic process,BE0000048
