text,parent_key
3.4.21.5,BE0000048
Coagulation factor II,BE0000048
2.7.10.1,BE0000767
ERBB,BE0000767
ERBB1,BE0000767
HER1,BE0000767
Proto-oncogene c-ErbB-1,BE0000767
Receptor tyrosine-protein kinase erbB-1,BE0000767
CD16B,BE0000901
Fc-gamma RIII,BE0000901
Fc-gamma RIII-beta,BE0000901
Fc-gamma RIIIb,BE0000901
FCG3,BE0000901
FCGR3,BE0000901
FcR-10,BE0000901
FcRIII,BE0000901
FcRIIIb,BE0000901
IGFR3,BE0000901
IgG Fc receptor III-1,BE0000901
Complement C1q subcomponent subunit A precursor,BE0002094
Complement C1q subcomponent subunit B precursor,BE0002095
C1QG,BE0002096
CD16A,BE0002097
CD16a antigen,BE0002097
Fc-gamma RIII,BE0002097
Fc-gamma RIII-alpha,BE0002097
Fc-gamma RIIIa,BE0002097
FCG3,BE0002097
FCGR3,BE0002097
FcR-10,BE0002097
FcRIII,BE0002097
FcRIIIa,BE0002097
IGFR3,BE0002097
IgG Fc receptor III-2,BE0002097
Fc-gamma RI,BE0000710
Fc-gamma RIA,BE0000710
FCG1,BE0000710
FcgammaRIa,BE0000710
FCGR1,BE0000710
FcRI,BE0000710
IGFR1,BE0000710
IgG Fc receptor I,BE0000710
CD32,BE0002098
CDw32,BE0002098
Fc-gamma RII-a,BE0002098
Fc-gamma-RIIa,BE0002098
FCG2,BE0002098
FCGR2A1,BE0002098
FcRII-a,BE0002098
IGFR2,BE0002098
IgG Fc receptor II-a,BE0002098
IL-2 receptor subunit alpha,BE0000658
p55,BE0000658
TAC antigen,BE0000658
High affinity IL-2 receptor subunit beta,BE0000651
IL-2 receptor subunit beta,BE0000651
p70-75,BE0000651
p75,BE0000651
gammaC,BE0002102
IL-2 receptor subunit gamma,BE0002102
IL-2R subunit gamma,BE0002102
IL-2RG,BE0002102
Interleukin-2 receptor subunit gamma,BE0002102
p64,BE0002102
Cachectin,BE0000704
TNF-a,BE0000704
TNF-alpha,BE0000704
TNFA,BE0000704
TNFSF2,BE0000704
Tumor necrosis factor ligand superfamily member 2,BE0000704
CD32,BE0002099
CDw32,BE0002099
Fc-gamma RII-b,BE0002099
Fc-gamma-RIIb,BE0002099
FCG2,BE0002099
FcRII-b,BE0002099
IGFR2,BE0002099
IgG Fc receptor II-b,BE0002099
CD32,BE0002100
CDw32,BE0002100
Fc-gamma RII-c,BE0002100
Fc-gamma-RIIc,BE0002100
FCG2,BE0002100
FcRII-c,BE0002100
IGFR2,BE0002100
IgG Fc receptor II-c,BE0002100
LT-alpha,BE0001087
TNF-beta,BE0001087
TNFB,BE0001087
TNFSF1,BE0001087
Tumor necrosis factor ligand superfamily member 1,BE0001087
Complement C1q subcomponent subunit A precursor,BE0009995
GnRH receptor,BE0000203
GRHR,BE0000203
IFN-R-2,BE0000385
IFNABR,BE0000385
IFNARB,BE0000385
Interferon alpha binding protein,BE0000385
Type I interferon receptor 2,BE0000385
CRF2-1,BE0000661
Cytokine receptor class-II member 1,BE0000661
Cytokine receptor family 2 member 1,BE0000661
IFN-R-1,BE0000661
IFNAR,BE0000661
Type I interferon receptor 1,BE0000661
3.4.21.7,BE0000211
Fibrinogen alpha chain precursor,BE0000538
MO3,BE0000717
Monocyte activation antigen Mo3,BE0000717
U-PAR,BE0000717
UPAR,BE0000717
Endothelial plasminogen activator inhibitor,BE0000240
PAI,BE0000240
PAI1,BE0000240
PLANH1,BE0000240
Serpin E1,BE0000240
GHRH receptor,BE0000625
GRF receptor,BE0000625
GRFR,BE0000625
Growth hormone-releasing factor receptor,BE0000625
EPO-R,BE0000654
Monocyte Arg-serpin,BE0000969
PAI-2,BE0000969
PAI2,BE0000969
Placental plasminogen activator inhibitor,BE0000969
PLANH2,BE0000969
Serpin B2,BE0000969
Urokinase inhibitor,BE0000969
Acrosomal serine protease inhibitor,BE0002112
PAI-3,BE0002112
PAI3,BE0002112
PCI,BE0002112
PLANH3,BE0002112
Plasminogen activator inhibitor 3,BE0002112
PROCI,BE0002112
Protein C inhibitor,BE0002112
Serpin A5,BE0002112
Glycoprotein 330,BE0000942
gp330,BE0000942
LRP-2,BE0000942
Megalin,BE0000942
3.4.21.109,BE0001656
Matriptase,BE0001656
Membrane-type serine protease 1,BE0001656
MT-SP1,BE0001656
Prostamin,BE0001656
PRSS14,BE0001656
Serine protease 14,BE0001656
Serine protease TADG-15,BE0001656
SNC19,BE0001656
TADG15,BE0001656
Tumor-associated differentially-expressed gene 15 protein,BE0001656
Entactin,BE0002113
NID,BE0002113
NID-1,BE0002113
LCGR,BE0000134
LGR2,BE0000134
LH/CG-R,BE0000134
LHR,BE0000134
LHRHR,BE0000134
LSH-R,BE0000134
Luteinizing hormone receptor,BE0000134
CT-R,BE0000431
G-CSF receptor,BE0000793
GCSFR,BE0000793
CDw116,BE0000628
CSF2R,BE0000628
CSF2RY,BE0000628
GM-CSF-R-alpha,BE0000628
IL-3 receptor subunit alpha,BE0001036
IL3R,BE0001036
CDw131,BE0002115
GM-CSF/IL-3/IL-5 receptor common beta subunit,BE0002115
IL3RB,BE0002115
IL5RB,BE0002115
Fibroglycan,BE0002116
Heparan sulfate proteoglycan core protein,BE0002116
HSPG,BE0002116
HSPG1,BE0002116
SYND2,BE0002116
BMPG,BE0002114
MBP,BE0002114
Proteoglycan 2,BE0002114
LGR3,BE0000490
Thyroid-stimulating hormone receptor,BE0000490
TSH-R,BE0000490
3.4.21.6,BE0000216
Stuart factor,BE0000216
Stuart-Prower factor,BE0000216
3.4.21.22,BE0000364
Christmas factor,BE0000364
Plasma thromboplastin component,BE0000364
PTC,BE0000364
F8VWF,BE0001043
vWF,BE0001043
1.14.11.18,BE0002117
PAHX,BE0002117
PhyH,BE0002117
Phytanic acid oxidase,BE0002117
Phytanoyl-CoA alpha-hydroxylase,BE0002117
ASGP-R 2,BE0002118
C-type lectin domain family 4 member H2,BE0002118
CLEC4H2,BE0002118
Hepatic lectin H2,BE0002118
HL-2,BE0002118
BiP,BE0001098
Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78,BE0001098
GRP-78,BE0001098
GRP78,BE0001098
Heat shock 70 kDa protein 5,BE0001098
Immunoglobulin heavy chain-binding protein,BE0001098
Calregulin,BE0002109
CRP55,BE0002109
CRTC,BE0002109
Endoplasmic reticulum resident protein 60,BE0002109
ERp60,BE0002109
grp60,BE0002109
HACBP,BE0002109
IP90,BE0001011
Major histocompatibility complex class I antigen-binding protein p88,BE0001011
p90,BE0001011
ER-Golgi intermediate compartment 53 kDa protein,BE0002119
ERGIC53,BE0002119
F5F8D,BE0002119
Gp58,BE0002119
Intracellular mannose-specific lectin MR60,BE0002119
Lectin mannose-binding 1,BE0002119
A2MR,BE0002110
Alpha-2-macroglobulin receptor,BE0002110
APOER,BE0002110
Apolipoprotein E receptor,BE0002110
APR,BE0002110
LRP-1,BE0002110
Neural stem cell-derived neuronal survival protein,BE0002120
SDNSF,BE0002120
CD121 antigen-like family member A,BE0000565
IL-1R-1,BE0000565
IL-1R-alpha,BE0000565
IL1R,BE0000565
IL1RA,BE0000565
IL1RT1,BE0000565
Interleukin-1 receptor alpha,BE0000565
Interleukin-1 receptor type I,BE0000565
p80,BE0000565
Fc-gamma RIB,BE0004684
FcRIB,BE0004684
hFcgammaRIB,BE0004684
IGFRB,BE0004684
IgG Fc receptor IB,BE0004684
C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1,BE0003455
CPAMD1,BE0003455
Acidic complement C4,BE0004685
C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2,BE0004685
CO4,BE0004685
CPAMD2,BE0004685
Basic complement C4,BE0004686
C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3,BE0004686
CO4,BE0004686
CPAMD3,BE0004686
C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4,BE0000855
CPAMD4,BE0000855
2.7.10.1,BE0000033
IR,BE0000033
2.7.10.1,BE0000858
IGF-I receptor,BE0000858
Insulin-like growth factor I receptor,BE0000858
p105-Rb,BE0002123
pp110,BE0002123
pRb,BE0002123
Rb,BE0002123
3.4.17.10,BE0001123
Carboxypeptidase H,BE0001123
CPE,BE0001123
CPH,BE0001123
Enkephalin convertase,BE0001123
Prohormone-processing carboxypeptidase,BE0001123
C-type lectin domain family 3 member B,BE0002104
Plasminogen kringle 4-binding protein,BE0002104
TN,BE0002104
TNA,BE0002104
CK-8,BE0002105
CYK8,BE0002105
Cytokeratin-8,BE0002105
K8,BE0002105
Keratin-8,BE0002105
Type-II keratin Kb8,BE0002105
Annexin II,BE0001170
Annexin-2,BE0001170
ANX2,BE0001170
ANX2L4,BE0001170
CAL1H,BE0001170
