resource,identifier,parent_key
HUGO Gene Nomenclature Committee (HGNC),HGNC:7218,BE0001075
GenAtlas,MPO,BE0001075
GenBank Gene Database,J02694,BE0001075
GenBank Protein Database,189040,BE0001075
Guide to Pharmacology,2789,BE0001075
UniProtKB,P05164,BE0001075
UniProt Accession,PERM_HUMAN,BE0001075
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,BE0002433
GenAtlas,CYP1A2,BE0002433
GenBank Gene Database,Z00036,BE0002433
Guide to Pharmacology,1319,BE0002433
UniProtKB,P05177,BE0002433
UniProt Accession,CP1A2_HUMAN,BE0002433
HUGO Gene Nomenclature Committee (HGNC),HGNC:7158,BE0001198
GenAtlas,MMP12,BE0001198
GenBank Gene Database,L23808,BE0001198
GenBank Protein Database,435970,BE0001198
Guide to Pharmacology,1636,BE0001198
UniProtKB,P39900,BE0001198
UniProt Accession,MMP12_HUMAN,BE0001198
HUGO Gene Nomenclature Committee (HGNC),HGNC:3309,BE0000394
GenAtlas,ELA2,BE0000394
GenBank Gene Database,Y00477,BE0000394
GenBank Protein Database,296665,BE0000394
Guide to Pharmacology,2358,BE0000394
UniProtKB,P08246,BE0000394
UniProt Accession,ELNE_HUMAN,BE0000394
HUGO Gene Nomenclature Committee (HGNC),HGNC:2625,BE0002363
GenAtlas,CYP2D6,BE0002363
GenBank Gene Database,M20403,BE0002363
GenBank Protein Database,181350,BE0002363
Guide to Pharmacology,1329,BE0002363
UniProtKB,P10635,BE0002363
UniProt Accession,CP2D6_HUMAN,BE0002363
HUGO Gene Nomenclature Committee (HGNC),HGNC:2623,BE0002793
GenAtlas,CYP2C9,BE0002793
GenBank Gene Database,AY341248,BE0002793
Guide to Pharmacology,1326,BE0002793
UniProtKB,P11712,BE0002793
UniProt Accession,CP2C9_HUMAN,BE0002793
HUGO Gene Nomenclature Committee (HGNC),HGNC:3535,BE0000048
GenAtlas,F2,BE0000048
GenBank Gene Database,M17262,BE0000048
GenBank Protein Database,339641,BE0000048
Guide to Pharmacology,2362,BE0000048
UniProtKB,P00734,BE0000048
UniProt Accession,THRB_HUMAN,BE0000048
HUGO Gene Nomenclature Committee (HGNC),HGNC:9451,BE0000380
GenAtlas,PROC,BE0000380
GenBank Gene Database,M11228,BE0000380
GenBank Protein Database,190334,BE0000380
Guide to Pharmacology,2396,BE0000380
UniProtKB,P04070,BE0000380
UniProt Accession,PROC_HUMAN,BE0000380
HUGO Gene Nomenclature Committee (HGNC),HGNC:5381,BE0001183
GenAtlas,IDE,BE0001183
GenBank Gene Database,M21188,BE0001183
GenBank Protein Database,184556,BE0001183
Guide to Pharmacology,2371,BE0001183
UniProtKB,P14735,BE0001183
UniProt Accession,IDE_HUMAN,BE0001183
HUGO Gene Nomenclature Committee (HGNC),HGNC:8744,BE0002124
GenAtlas,PCSK2,BE0002124
GenBank Gene Database,J05252,BE0002124
