resource,identifier,parent_key
HUGO Gene Nomenclature Committee (HGNC),HGNC:40,BE0001032
GenAtlas,ABCB1,BE0001032
GenBank Gene Database,M14758,BE0001032
GenBank Protein Database,307180,BE0001032
UniProtKB,P08183,BE0001032
UniProt Accession,MDR1_HUMAN,BE0001032
HUGO Gene Nomenclature Committee (HGNC),HGNC:53,BE0001069
GenAtlas,ABCC2,BE0001069
GenBank Gene Database,U63970,BE0001069
GenBank Protein Database,1764162,BE0001069
Guide to Pharmacology,780,BE0001069
UniProtKB,Q92887,BE0001069
UniProt Accession,MRP2_HUMAN,BE0001069
HUGO Gene Nomenclature Committee (HGNC),HGNC:42,BE0000703
GenAtlas,ABCB11,BE0000703
GenBank Gene Database,AF091582,BE0000703
GenBank Protein Database,3873243,BE0000703
Guide to Pharmacology,778,BE0000703
UniProtKB,O95342,BE0000703
UniProt Accession,ABCBB_HUMAN,BE0000703
HUGO Gene Nomenclature Committee (HGNC),HGNC:10906,BE0003643
GenBank Gene Database,U10417,BE0003643
GenBank Protein Database,595399,BE0003643
Guide to Pharmacology,960,BE0003643
UniProtKB,Q12908,BE0003643
UniProt Accession,NTCP2_HUMAN,BE0003643
HUGO Gene Nomenclature Committee (HGNC),HGNC:10905,BE0003644
GenBank Gene Database,L21893,BE0003644
GenBank Protein Database,410214,BE0003644
Guide to Pharmacology,959,BE0003644
UniProtKB,Q14973,BE0003644
UniProt Accession,NTCP_HUMAN,BE0003644
HUGO Gene Nomenclature Committee (HGNC),HGNC:10970,BE0001066
GenAtlas,hROAT1,BE0001066
GenBank Gene Database,AF057039,BE0001066
GenBank Protein Database,3831566,BE0001066
Guide to Pharmacology,1025,BE0001066
UniProtKB,Q4U2R8,BE0001066
UniProt Accession,S22A6_HUMAN,BE0001066
HUGO Gene Nomenclature Committee (HGNC),HGNC:52,BE0003651
GenBank Gene Database,AY032599,BE0003651
GenBank Protein Database,21103955,BE0003651
UniProtKB,Q5T3U5,BE0003651
UniProt Accession,MRP7_HUMAN,BE0003651
HUGO Gene Nomenclature Committee (HGNC),HGNC:74,BE0001067
GenAtlas,ABCG2,BE0001067
GenBank Gene Database,AF103796,BE0001067
GenBank Protein Database,4185796,BE0001067
Guide to Pharmacology,792,BE0001067
UniProtKB,Q9UNQ0,BE0001067
UniProt Accession,ABCG2_HUMAN,BE0001067
HUGO Gene Nomenclature Committee (HGNC),HGNC:10959,BE0001004
GenAtlas,SLCO1B1,BE0001004
GenBank Gene Database,AF060500,BE0001004
GenBank Protein Database,5051630,BE0001004
Guide to Pharmacology,1220,BE0001004
UniProtKB,Q9Y6L6,BE0001004
UniProt Accession,SO1B1_HUMAN,BE0001004
HUGO Gene Nomenclature Committee (HGNC),HGNC:10961,BE0003659
GenBank Gene Database,AJ251506,BE0003659
GenBank Protein Database,9187497,BE0003659
Guide to Pharmacology,1221,BE0003659
UniProtKB,Q9NPD5,BE0003659
UniProt Accession,SO1B3_HUMAN,BE0003659
HUGO Gene Nomenclature Committee (HGNC),HGNC:14604,BE0000340
GenAtlas,AMN,BE0000340
GenBank Gene Database,AF328788,BE0000340
GenBank Protein Database,13507259,BE0000340
UniProtKB,Q9BXJ7,BE0000340
UniProt Accession,AMNLS_HUMAN,BE0000340
HUGO Gene Nomenclature Committee (HGNC),HGNC:11652,BE0000238
GenAtlas,TCN1,BE0000238
GenBank Gene Database,J05068,BE0000238
GenBank Protein Database,307479,BE0000238
UniProtKB,P20061,BE0000238
UniProt Accession,TCO1_HUMAN,BE0000238
HUGO Gene Nomenclature Committee (HGNC),HGNC:11653,BE0000362
GenAtlas,TCN2,BE0000362
GenBank Gene Database,M60396,BE0000362
GenBank Protein Database,339196,BE0000362
UniProtKB,P20062,BE0000362
UniProt Accession,TCO2_HUMAN,BE0000362
HUGO Gene Nomenclature Committee (HGNC),HGNC:4268,BE0004690
UniProtKB,P27352,BE0004690
UniProt Accession,IF_HUMAN,BE0004690
HUGO Gene Nomenclature Committee (HGNC),HGNC:2548,BE0000936
GenAtlas,CUBN,BE0000936
GenBank Gene Database,AF034611,BE0000936
GenBank Protein Database,3929529,BE0000936
UniProtKB,O60494,BE0000936
UniProt Accession,CUBN_HUMAN,BE0000936
HUGO Gene Nomenclature Committee (HGNC),HGNC:6694,BE0000942
GenAtlas,LRP2,BE0000942
GenBank Gene Database,U33837,BE0000942
GenBank Protein Database,1809240,BE0000942
UniProtKB,P98164,BE0000942
UniProt Accession,LRP2_HUMAN,BE0000942
HUGO Gene Nomenclature Committee (HGNC),HGNC:51,BE0000785
GenAtlas,ABCC1,BE0000785
GenBank Gene Database,L05628,BE0000785
GenBank Protein Database,1835659,BE0000785
Guide to Pharmacology,779,BE0000785
UniProtKB,P33527,BE0000785
UniProt Accession,MRP1_HUMAN,BE0000785
HUGO Gene Nomenclature Committee (HGNC),HGNC:17027,BE0003654
GenBank Gene Database,AB057445,BE0003654
GenBank Protein Database,18640047,BE0003654
UniProtKB,Q8TF71,BE0003654
UniProt Accession,MOT10_HUMAN,BE0003654
HUGO Gene Nomenclature Committee (HGNC),HGNC:10928,BE0000440
GenAtlas,SLC16A7,BE0000440
GenBank Gene Database,AF058056,BE0000440
GenBank Protein Database,3047402,BE0000440
Guide to Pharmacology,990,BE0000440
UniProtKB,O60669,BE0000440
UniProt Accession,MOT2_HUMAN,BE0000440
HUGO Gene Nomenclature Committee (HGNC),HGNC:10922,BE0000669
GenAtlas,SLC16A1,BE0000669
GenBank Gene Database,L31801,BE0000669
GenBank Protein Database,561722,BE0000669
Guide to Pharmacology,988,BE0000669
UniProtKB,P53985,BE0000669
UniProt Accession,MOT1_HUMAN,BE0000669
HUGO Gene Nomenclature Committee (HGNC),HGNC:10955,BE0003655
GenBank Gene Database,U70867,BE0003655
GenBank Protein Database,1617590,BE0003655
UniProtKB,Q92959,BE0003655
UniProt Accession,SO2A1_HUMAN,BE0003655
HUGO Gene Nomenclature Committee (HGNC),HGNC:10924,BE0000449
GenAtlas,SLC16A3,BE0000449
GenBank Gene Database,U81800,BE0000449
GenBank Protein Database,2463634,BE0000449
UniProtKB,O15427,BE0000449
UniProt Accession,MOT4_HUMAN,BE0000449
HUGO Gene Nomenclature Committee (HGNC),HGNC:11041,BE0000094
GenAtlas,SLC5A6,BE0000094
GenBank Gene Database,AF116241,BE0000094
GenBank Protein Database,5006439,BE0000094
UniProtKB,Q9Y289,BE0000094
UniProt Accession,SC5A6_HUMAN,BE0000094
HUGO Gene Nomenclature Committee (HGNC),HGNC:19119,BE0004708
Guide to Pharmacology,922,BE0004708
UniProtKB,Q8N695,BE0004708
UniProt Accession,SC5A8_HUMAN,BE0004708
HUGO Gene Nomenclature Committee (HGNC),HGNC:10966,BE0003647
GenBank Gene Database,X98333,BE0003647
GenBank Protein Database,2281942,BE0003647
Guide to Pharmacology,1020,BE0003647
UniProtKB,O15244,BE0003647
UniProt Accession,S22A2_HUMAN,BE0003647
HUGO Gene Nomenclature Committee (HGNC),HGNC:10963,BE0003648
GenBank Gene Database,X98332,BE0003648
GenBank Protein Database,2511670,BE0003648
Guide to Pharmacology,1019,BE0003648
UniProtKB,O15245,BE0003648
UniProt Accession,S22A1_HUMAN,BE0003648
HUGO Gene Nomenclature Committee (HGNC),HGNC:10967,BE0003650
GenBank Gene Database,AJ001417,BE0003650
GenBank Protein Database,3581982,BE0003650
Guide to Pharmacology,1021,BE0003650
UniProtKB,O75751,BE0003650
UniProt Accession,S22A3_HUMAN,BE0003650
