category,description,parent_key
component,blood microparticle,BE0000048
component,cytosol,BE0000048
component,endoplasmic reticulum lumen,BE0000048
component,extracellular exosome,BE0000048
component,extracellular matrix,BE0000048
component,extracellular region,BE0000048
component,extracellular space,BE0000048
component,Golgi lumen,BE0000048
component,plasma membrane,BE0000048
function,calcium ion binding,BE0000048
function,growth factor activity,BE0000048
function,receptor binding,BE0000048
function,serine-type endopeptidase activity,BE0000048
function,thrombospondin receptor activity,BE0000048
process,acute-phase response,BE0000048
process,blood coagulation,BE0000048
process,"blood coagulation, intrinsic pathway",BE0000048
process,cell surface receptor signaling pathway,BE0000048
process,cellular protein metabolic process,BE0000048
process,cellular response to mechanical stimulus,BE0000048
process,cytosolic calcium ion homeostasis,BE0000048
process,fibrinolysis,BE0000048
process,leukocyte migration,BE0000048
process,multicellular organismal development,BE0000048
process,negative regulation of astrocyte differentiation,BE0000048
process,negative regulation of fibrinolysis,BE0000048
process,negative regulation of platelet activation,BE0000048
process,negative regulation of proteolysis,BE0000048
process,peptidyl-glutamic acid carboxylation,BE0000048
process,platelet activation,BE0000048
process,positive regulation of blood coagulation,BE0000048
process,positive regulation of cell growth,BE0000048
process,positive regulation of cell proliferation,BE0000048
process,positive regulation of collagen biosynthetic process,BE0000048
process,positive regulation of phosphatidylinositol 3-kinase signaling,BE0000048
process,positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway,BE0000048
process,positive regulation of protein phosphorylation,BE0000048
process,positive regulation of reactive oxygen species metabolic process,BE0000048
process,positive regulation of release of sequestered calcium ion into cytosol,BE0000048
process,post-translational protein modification,BE0000048
process,proteolysis,BE0000048
process,regulation of blood coagulation,BE0000048
process,regulation of cell shape,BE0000048
process,regulation of gene expression,BE0000048
process,response to inactivity,BE0000048
process,response to wounding,BE0000048
component,basolateral plasma membrane,BE0000767
component,cell surface,BE0000767
component,cytoplasm,BE0000767
component,early endosome membrane,BE0000767
component,endocytic vesicle,BE0000767
component,endoplasmic reticulum membrane,BE0000767
component,endosome,BE0000767
component,endosome membrane,BE0000767
component,extracellular space,BE0000767
component,focal adhesion,BE0000767
component,Golgi membrane,BE0000767
component,integral component of membrane,BE0000767
component,membrane,BE0000767
component,membrane raft,BE0000767
component,"multivesicular body, internal vesicle lumen",BE0000767
component,nuclear membrane,BE0000767
component,nucleus,BE0000767
component,perinuclear region of cytoplasm,BE0000767
component,plasma membrane,BE0000767
component,receptor complex,BE0000767
component,Shc-EGFR complex,BE0000767
function,actin filament binding,BE0000767
function,ATP binding,BE0000767
function,chromatin binding,BE0000767
function,double-stranded DNA binding,BE0000767
function,enzyme binding,BE0000767
function,epidermal growth factor-activated receptor activity,BE0000767
function,identical protein binding,BE0000767
function,MAP kinase kinase kinase activity,BE0000767
function,protein heterodimerization activity,BE0000767
function,protein phosphatase binding,BE0000767
function,protein tyrosine kinase activity,BE0000767
function,receptor signaling protein tyrosine kinase activity,BE0000767
function,transmembrane receptor protein tyrosine kinase activity,BE0000767
function,transmembrane signaling receptor activity,BE0000767
function,ubiquitin protein ligase binding,BE0000767
process,activation of MAPKK activity,BE0000767
process,activation of phospholipase A2 activity by calcium-mediated signaling,BE0000767
process,activation of phospholipase C activity,BE0000767
process,axon guidance,BE0000767
process,cell proliferation,BE0000767
process,cell surface receptor signaling pathway,BE0000767
process,cellular response to amino acid stimulus,BE0000767
process,cellular response to epidermal growth factor stimulus,BE0000767
process,cellular response to estradiol stimulus,BE0000767
process,cerebral cortex cell migration,BE0000767
process,digestive tract morphogenesis,BE0000767
process,embryonic placenta development,BE0000767
process,epidermal growth factor receptor signaling pathway,BE0000767
process,Fc-epsilon receptor signaling pathway,BE0000767
process,fibroblast growth factor receptor signaling pathway,BE0000767
process,hair follicle development,BE0000767
process,innate immune response,BE0000767
process,insulin receptor signaling pathway,BE0000767
process,learning or memory,BE0000767
process,MAPK cascade,BE0000767
process,morphogenesis of an epithelial fold,BE0000767
process,negative regulation of apoptotic process,BE0000767
process,negative regulation of epidermal growth factor receptor signaling pathway,BE0000767
process,negative regulation of protein catabolic process,BE0000767
process,neurotrophin TRK receptor signaling pathway,BE0000767
process,ossification,BE0000767
process,peptidyl-tyrosine phosphorylation,BE0000767
process,phosphatidylinositol-mediated signaling,BE0000767
process,positive regulation of catenin import into nucleus,BE0000767
process,positive regulation of cell migration,BE0000767
process,positive regulation of cell proliferation,BE0000767
process,positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,BE0000767
process,positive regulation of DNA repair,BE0000767
process,positive regulation of DNA replication,BE0000767
process,positive regulation of epithelial cell proliferation,BE0000767
process,positive regulation of ERK1 and ERK2 cascade,BE0000767
process,positive regulation of fibroblast proliferation,BE0000767
process,positive regulation of MAP kinase activity,BE0000767
process,positive regulation of nitric oxide biosynthetic process,BE0000767
process,positive regulation of phosphorylation,BE0000767
process,positive regulation of protein kinase B signaling,BE0000767
process,positive regulation of protein phosphorylation,BE0000767
process,positive regulation of transcription from RNA polymerase II promoter,BE0000767
process,protein autophosphorylation,BE0000767
process,protein insertion into membrane,BE0000767
process,Ras protein signal transduction,BE0000767
process,regulation of nitric-oxide synthase activity,BE0000767
process,regulation of peptidyl-tyrosine phosphorylation,BE0000767
process,response to stress,BE0000767
process,response to UV-A,BE0000767
process,salivary gland morphogenesis,BE0000767
process,signal transduction,BE0000767
process,single organismal cell-cell adhesion,BE0000767
process,small GTPase mediated signal transduction,BE0000767
process,vascular endothelial growth factor receptor signaling pathway,BE0000767
component,anchored component of membrane,BE0000901
component,extracellular exosome,BE0000901
component,plasma membrane,BE0000901
process,immune response,BE0000901
process,mitophagy in response to mitochondrial depolarization,BE0000901
process,positive regulation of defense response to virus by host,BE0000901
process,xenophagy,BE0000901
component,collagen trimer,BE0002094
component,complement component C1 complex,BE0002094
component,extracellular exosome,BE0002094
component,extracellular region,BE0002094
process,cell-cell signaling,BE0002094
process,complement activation,BE0002094
process,"complement activation, classical pathway",BE0002094
process,innate immune response,BE0002094
component,blood microparticle,BE0002095
component,collagen trimer,BE0002095
component,complement component C1 complex,BE0002095
component,extracellular exosome,BE0002095
component,extracellular region,BE0002095
process,complement activation,BE0002095
process,"complement activation, classical pathway",BE0002095
process,innate immune response,BE0002095
process,inner ear development,BE0002095
component,blood microparticle,BE0002096
component,collagen trimer,BE0002096
component,extracellular exosome,BE0002096
component,extracellular region,BE0002096
component,extracellular space,BE0002096
process,complement activation,BE0002096
process,"complement activation, classical pathway",BE0002096
process,immune response,BE0002096
process,innate immune response,BE0002096
process,negative regulation of granulocyte differentiation,BE0002096
process,negative regulation of macrophage differentiation,BE0002096
component,external side of plasma membrane,BE0002097
component,extracellular exosome,BE0002097
component,integral component of membrane,BE0002097
component,plasma membrane,BE0002097
process,Fc-gamma receptor signaling pathway involved in phagocytosis,BE0002097
process,immune response,BE0002097
process,innate immune response,BE0002097
process,regulation of immune response,BE0002097
component,clathrin-coated endocytic vesicle membrane,BE0000710
component,early endosome membrane,BE0000710
component,integral component of membrane,BE0000710
component,plasma membrane,BE0000710
function,receptor signaling protein activity,BE0000710
process,antigen processing and presentation of exogenous peptide antigen via MHC class I,BE0000710
process,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",BE0000710
process,antigen processing and presentation of peptide antigen via MHC class I,BE0000710
process,cytokine-mediated signaling pathway,BE0000710
process,Fc-gamma receptor signaling pathway involved in phagocytosis,BE0000710
process,immune response,BE0000710
process,innate immune response,BE0000710
process,interferon-gamma-mediated signaling pathway,BE0000710
process,intracellular signal transduction,BE0000710
process,"phagocytosis, engulfment",BE0000710
process,regulation of immune response,BE0000710
process,signal transduction,BE0000710
component,extracellular exosome,BE0002098
component,integral component of membrane,BE0002098
component,plasma membrane,BE0002098
process,Fc-gamma receptor signaling pathway involved in phagocytosis,BE0002098
process,innate immune response,BE0002098
component,external side of plasma membrane,BE0000658
component,integral component of membrane,BE0000658
component,intracellular,BE0000658
component,plasma membrane,BE0000658
function,drug binding,BE0000658
function,interleukin-2 binding,BE0000658
function,interleukin-2 receptor activity,BE0000658
process,activation of MAPKK activity,BE0000658
process,activation-induced cell death of T cells,BE0000658
process,apoptotic process,BE0000658
process,axon guidance,BE0000658
process,cell proliferation,BE0000658
process,cell surface receptor signaling pathway,BE0000658
process,epidermal growth factor receptor signaling pathway,BE0000658
process,Fc-epsilon receptor signaling pathway,BE0000658
process,fibroblast growth factor receptor signaling pathway,BE0000658
process,immune response,BE0000658
process,inflammatory response,BE0000658
process,inflammatory response to antigenic stimulus,BE0000658
process,innate immune response,BE0000658
process,insulin receptor signaling pathway,BE0000658
process,MAPK cascade,BE0000658
process,negative regulation of defense response to virus,BE0000658
process,negative regulation of immune response,BE0000658
process,negative regulation of inflammatory response,BE0000658
process,negative regulation of T cell proliferation,BE0000658
process,neurotrophin TRK receptor signaling pathway,BE0000658
process,Notch signaling pathway,BE0000658
process,positive regulation of activated T cell proliferation,BE0000658
process,positive regulation of T cell differentiation,BE0000658
process,Ras protein signal transduction,BE0000658
process,regulation of T cell homeostatic proliferation,BE0000658
process,regulation of T cell tolerance induction,BE0000658
process,small GTPase mediated signal transduction,BE0000658
process,vascular endothelial growth factor receptor signaling pathway,BE0000658
component,external side of plasma membrane,BE0000651
component,integral component of plasma membrane,BE0000651
component,intracellular,BE0000651
component,membrane,BE0000651
component,plasma membrane,BE0000651
function,interleukin-2 binding,BE0000651
function,interleukin-2 receptor activity,BE0000651
process,activation of MAPKK activity,BE0000651
process,axon guidance,BE0000651
process,cytokine-mediated signaling pathway,BE0000651
process,epidermal growth factor receptor signaling pathway,BE0000651
process,Fc-epsilon receptor signaling pathway,BE0000651
process,fibroblast growth factor receptor signaling pathway,BE0000651
process,innate immune response,BE0000651
process,insulin receptor signaling pathway,BE0000651
process,interleukin-2-mediated signaling pathway,BE0000651
process,MAPK cascade,BE0000651
process,negative regulation of apoptotic process,BE0000651
process,neurotrophin TRK receptor signaling pathway,BE0000651
process,protein complex assembly,BE0000651
process,Ras protein signal transduction,BE0000651
process,signal transduction,BE0000651
process,small GTPase mediated signal transduction,BE0000651
process,vascular endothelial growth factor receptor signaling pathway,BE0000651
