resource,identifier,parent_key
HUGO Gene Nomenclature Committee (HGNC),HGNC:3535,BE0000048
GenAtlas,F2,BE0000048
GenBank Gene Database,M17262,BE0000048
GenBank Protein Database,339641,BE0000048
Guide to Pharmacology,2362,BE0000048
UniProtKB,P00734,BE0000048
UniProt Accession,THRB_HUMAN,BE0000048
HUGO Gene Nomenclature Committee (HGNC),HGNC:3236,BE0000767
GenAtlas,EGFR,BE0000767
GenBank Gene Database,X00588,BE0000767
GenBank Protein Database,757924,BE0000767
Guide to Pharmacology,1797,BE0000767
UniProtKB,P00533,BE0000767
UniProt Accession,EGFR_HUMAN,BE0000767
HUGO Gene Nomenclature Committee (HGNC),HGNC:3620,BE0000901
GenAtlas,FCGR3B,BE0000901
GenBank Gene Database,X16863,BE0000901
GenBank Protein Database,31322,BE0000901
UniProtKB,O75015,BE0000901
UniProt Accession,FCG3B_HUMAN,BE0000901
HUGO Gene Nomenclature Committee (HGNC),HGNC:1241,BE0002094
GenAtlas,C1QA,BE0002094
GenBank Gene Database,AF135157,BE0002094
GenBank Protein Database,4894854,BE0002094
UniProtKB,P02745,BE0002094
UniProt Accession,C1QA_HUMAN,BE0002094
HUGO Gene Nomenclature Committee (HGNC),HGNC:1242,BE0002095
GenAtlas,C1QB,BE0002095
GenBank Gene Database,X03084,BE0002095
GenBank Protein Database,573114,BE0002095
UniProtKB,P02746,BE0002095
UniProt Accession,C1QB_HUMAN,BE0002095
HUGO Gene Nomenclature Committee (HGNC),HGNC:1245,BE0002096
GenAtlas,C1QC,BE0002096
GenBank Gene Database,AF087892,BE0002096
GenBank Protein Database,33150626,BE0002096
UniProtKB,P02747,BE0002096
UniProt Accession,C1QC_HUMAN,BE0002096
HUGO Gene Nomenclature Committee (HGNC),HGNC:3619,BE0002097
GenAtlas,FCGR3A,BE0002097
GenBank Gene Database,X52645,BE0002097
GenBank Protein Database,31324,BE0002097
UniProtKB,P08637,BE0002097
UniProt Accession,FCG3A_HUMAN,BE0002097
HUGO Gene Nomenclature Committee (HGNC),HGNC:3613,BE0000710
GenAtlas,FCGR1A,BE0000710
GenBank Gene Database,X14356,BE0000710
GenBank Protein Database,31332,BE0000710
UniProtKB,P12314,BE0000710
UniProt Accession,FCGR1_HUMAN,BE0000710
HUGO Gene Nomenclature Committee (HGNC),HGNC:3616,BE0002098
GenAtlas,FCGR2A,BE0002098
GenBank Gene Database,M31932,BE0002098
GenBank Protein Database,182474,BE0002098
UniProtKB,P12318,BE0002098
UniProt Accession,FCG2A_HUMAN,BE0002098
HUGO Gene Nomenclature Committee (HGNC),HGNC:6008,BE0000658
GenAtlas,IL2RA,BE0000658
GenBank Gene Database,X01057,BE0000658
GenBank Protein Database,33813,BE0000658
Guide to Pharmacology,1695,BE0000658
UniProtKB,P01589,BE0000658
UniProt Accession,IL2RA_HUMAN,BE0000658
HUGO Gene Nomenclature Committee (HGNC),HGNC:6009,BE0000651
GenAtlas,IL2RB,BE0000651
GenBank Gene Database,M26062,BE0000651
GenBank Protein Database,307048,BE0000651
UniProtKB,P14784,BE0000651
UniProt Accession,IL2RB_HUMAN,BE0000651
HUGO Gene Nomenclature Committee (HGNC),HGNC:6010,BE0002102
GenAtlas,IL2RG,BE0002102
GenBank Gene Database,D11086,BE0002102
GenBank Protein Database,219890,BE0002102
UniProtKB,P31785,BE0002102
UniProt Accession,IL2RG_HUMAN,BE0002102
HUGO Gene Nomenclature Committee (HGNC),HGNC:11892,BE0000704
GenAtlas,TNF,BE0000704
GenBank Gene Database,M16441,BE0000704
GenBank Protein Database,339741,BE0000704
Guide to Pharmacology,2635,BE0000704
UniProtKB,P01375,BE0000704
UniProt Accession,TNFA_HUMAN,BE0000704
HUGO Gene Nomenclature Committee (HGNC),HGNC:3618,BE0002099
GenAtlas,FCGR2B,BE0002099
GenBank Gene Database,U87560,BE0002099
GenBank Protein Database,4099445,BE0002099
UniProtKB,P31994,BE0002099
UniProt Accession,FCG2B_HUMAN,BE0002099
HUGO Gene Nomenclature Committee (HGNC),HGNC:15626,BE0002100
GenAtlas,FCGR2C,BE0002100
GenBank Gene Database,X17652,BE0002100
GenBank Protein Database,32074,BE0002100
UniProtKB,P31995,BE0002100
UniProt Accession,FCG2C_HUMAN,BE0002100
HUGO Gene Nomenclature Committee (HGNC),HGNC:6709,BE0001087
GenAtlas,LTA,BE0001087
GenBank Gene Database,X01393,BE0001087
GenBank Protein Database,34445,BE0001087
UniProtKB,P01374,BE0001087
UniProt Accession,TNFB_HUMAN,BE0001087
HUGO Gene Nomenclature Committee (HGNC),HGNC:1241,BE0009995
GenAtlas,C1QA,BE0009995
GenBank Gene Database,AF135157,BE0009995
GenBank Protein Database,4894854,BE0009995
UniProtKB,P02745,BE0009995
UniProt Accession,C1QA_HUMAN,BE0009995
HUGO Gene Nomenclature Committee (HGNC),HGNC:4421,BE0000203
GenAtlas,GNRHR,BE0000203
GenBank Gene Database,L03380,BE0000203
GenBank Protein Database,183422,BE0000203
IUPHAR,256,BE0000203
Guide to Pharmacology,256,BE0000203
