identifier,name,parent_key
PF00594,Gla,BE0000048
PF00051,Kringle,BE0000048
PF00089,Trypsin,BE0000048
PF09396,Thrombin_light,BE0000048
PF07714,Pkinase_Tyr,BE0000767
PF00757,Furin-like,BE0000767
PF01030,Recep_L_domain,BE0000767
PF14843,GF_recep_IV,BE0000767
PF13895,Ig_2,BE0000901
PF01391,Collagen,BE0002094
PF00386,C1q,BE0002094
PF01391,Collagen,BE0002095
PF00386,C1q,BE0002095
PF01391,Collagen,BE0002096
PF00386,C1q,BE0002096
PF13895,Ig_2,BE0002097
PF00047,ig,BE0000710
PF13895,Ig_2,BE0000710
PF13895,Ig_2,BE0002098
PF00084,Sushi,BE0000658
PF00041,fn3,BE0002102
PF09240,IL6Ra-bind,BE0002102
PF00229,TNF,BE0000704
PF13895,Ig_2,BE0002099
PF13895,Ig_2,BE0002100
PF00229,TNF,BE0001087
PF01391,Collagen,BE0009995
PF00386,C1q,BE0009995
PF00001,7tm_1,BE0000203
PF01108,Tissue_fac,BE0000385
PF09294,Interfer-bind,BE0000385
PF01108,Tissue_fac,BE0000661
PF09294,Interfer-bind,BE0000661
PF00051,Kringle,BE0000211
PF00089,Trypsin,BE0000211
PF00024,PAN_1,BE0000211
PF00147,Fibrinogen_C,BE0000538
PF08702,Fib_alpha,BE0000538
PF12160,Fibrinogen_aC,BE0000538
PF00021,UPAR_LY6,BE0000717
PF00079,Serpin,BE0000240
PF00002,7tm_2,BE0000625
PF02793,HRM,BE0000625
PF00041,fn3,BE0000654
PF09067,EpoR_lig-bind,BE0000654
PF00079,Serpin,BE0000969
PF00079,Serpin,BE0002112
PF07645,EGF_CA,BE0000942
PF00057,Ldl_recept_a,BE0000942
PF00058,Ldl_recept_b,BE0000942
PF12662,cEGF,BE0000942
PF00089,Trypsin,BE0001656
PF00057,Ldl_recept_a,BE0001656
PF00431,CUB,BE0001656
PF01390,SEA,BE0001656
PF07645,EGF_CA,BE0002113
PF00058,Ldl_recept_b,BE0002113
PF00086,Thyroglobulin_1,BE0002113
PF06119,NIDO,BE0002113
PF07474,G2F,BE0002113
PF12662,cEGF,BE0002113
PF12947,EGF_3,BE0002113
PF00001,7tm_1,BE0000134
PF13306,LRR_5,BE0000134
PF00002,7tm_2,BE0000431
PF02793,HRM,BE0000431
PF00041,fn3,BE0000793
PF06328,Lep_receptor_Ig,BE0000793
PF09240,IL6Ra-bind,BE0000628
PF09240,IL6Ra-bind,BE0001036
PF00041,fn3,BE0002115
PF09240,IL6Ra-bind,BE0002115
PF01034,Syndecan,BE0002116
PF00059,Lectin_C,BE0002114
PF00001,7tm_1,BE0000490
PF13306,LRR_5,BE0000490
PF00008,EGF,BE0000216
PF00594,Gla,BE0000216
PF00089,Trypsin,BE0000216
PF00008,EGF,BE0000364
PF00594,Gla,BE0000364
PF00089,Trypsin,BE0000364
PF00093,VWC,BE0001043
PF00092,VWA,BE0001043
PF00094,VWD,BE0001043
PF08742,C8,BE0001043
PF01826,TIL,BE0001043
PF16164,VWA_N2,BE0001043
PF05721,PhyH,BE0002117
PF00059,Lectin_C,BE0002118
PF03954,Lectin_N,BE0002118
PF00012,HSP70,BE0001098
PF00262,Calreticulin,BE0002109
PF00262,Calreticulin,BE0001011
PF03388,Lectin_leg-like,BE0002119
PF07645,EGF_CA,BE0002110
PF00057,Ldl_recept_a,BE0002110
PF00058,Ldl_recept_b,BE0002110
PF12662,cEGF,BE0002110
PF16472,DUF5050,BE0002110
PF13499,EF-hand_7,BE0002120
PF07679,I-set,BE0000565
PF01582,TIR,BE0000565
PF13895,Ig_2,BE0000565
PF13895,Ig_2,BE0004684
PF00207,A2M,BE0003455
PF07678,A2M_comp,BE0003455
PF01835,A2M_N,BE0003455
PF07703,A2M_N_2,BE0003455
PF07677,A2M_recep,BE0003455
PF01821,ANATO,BE0003455
PF01759,NTR,BE0003455
PF10569,Thiol-ester_cl,BE0003455
PF00207,A2M,BE0004685
PF07678,A2M_comp,BE0004685
PF01835,A2M_N,BE0004685
PF07703,A2M_N_2,BE0004685
PF07677,A2M_recep,BE0004685
PF01821,ANATO,BE0004685
PF01759,NTR,BE0004685
PF10569,Thiol-ester_cl,BE0004685
PF00207,A2M,BE0004686
PF07678,A2M_comp,BE0004686
PF01835,A2M_N,BE0004686
PF07703,A2M_N_2,BE0004686
PF07677,A2M_recep,BE0004686
PF01821,ANATO,BE0004686
PF01759,NTR,BE0004686
PF10569,Thiol-ester_cl,BE0004686
PF00207,A2M,BE0000855
PF07678,A2M_comp,BE0000855
PF01835,A2M_N,BE0000855
PF07703,A2M_N_2,BE0000855
PF07677,A2M_recep,BE0000855
PF01821,ANATO,BE0000855
PF01759,NTR,BE0000855
PF07714,Pkinase_Tyr,BE0000033
PF00041,fn3,BE0000033
PF00757,Furin-like,BE0000033
PF01030,Recep_L_domain,BE0000033
PF07714,Pkinase_Tyr,BE0000858
PF00757,Furin-like,BE0000858
PF01030,Recep_L_domain,BE0000858
PF01858,RB_A,BE0002123
PF01857,RB_B,BE0002123
PF08934,Rb_C,BE0002123
PF11934,DUF3452,BE0002123
PF00246,Peptidase_M14,BE0001123
PF00059,Lectin_C,BE0002104
PF00038,Filament,BE0002105
PF16208,Keratin_2_head,BE0002105
PF00191,Annexin,BE0001170
PF00001,7tm_1,BE0000387
PF01462,LRRNT,BE0000387
PF13306,LRR_5,BE0000387
PF12369,GnHR_trans,BE0000387
PF07140,IFNGR1,BE0000711
PF01108,Tissue_fac,BE0000711
PF01108,Tissue_fac,BE0000467
PF09294,Interfer-bind,BE0000467
PF00001,7tm_1,BE0000293
PF00001,7tm_1,BE0000165
PF08983,DUF1856,BE0000165
PF00001,7tm_1,BE0000773
PF08983,DUF1856,BE0000773
PF00014,Kunitz_BPTI,BE0000967
PF05090,VKG_Carbox,BE0000403
PF00008,EGF,BE0000333
PF00594,Gla,BE0000333
PF00089,Trypsin,BE0000333
PF01108,Tissue_fac,BE0001178
PF09294,Interfer-bind,BE0001178
PF00047,ig,BE0000416
PF00041,fn3,BE0000416
PF07714,Pkinase_Tyr,BE0000748
PF07679,I-set,BE0000748
PF00754,F5_F8_type_C,BE0002129
PF00629,MAM,BE0002129
PF00431,CUB,BE0002129
PF11980,DUF3481,BE0002129
PF07714,Pkinase_Tyr,BE0002131
PF00047,ig,BE0002131
PF07679,I-set,BE0002131
PF07714,Pkinase_Tyr,BE0001203
PF07679,I-set,BE0001203
PF07714,Pkinase_Tyr,BE0002133
PF07679,I-set,BE0002133
PF00047,ig,BE0001031
PF00008,EGF,BE0001031
PF07679,I-set,BE0001031
PF00057,Ldl_recept_a,BE0001031
PF00054,Laminin_G_1,BE0001031
PF00052,Laminin_B,BE0001031
PF00053,Laminin_EGF,BE0001031
PF13895,Ig_2,BE0001031
PF00002,7tm_2,BE0000527
PF02793,HRM,BE0000527
PF00002,7tm_2,BE0002134
PF02793,HRM,BE0002134
PF00002,7tm_2,BE0000857
PF02793,HRM,BE0000857
PF00957,Synaptobrevin,BE0002137
PF00957,Synaptobrevin,BE0002136
PF00168,C2,BE0002138
PF13895,Ig_2,BE0000015
PF04103,CD20,BE0002139
PF01463,LRRCT,BE0001164
PF01582,TIR,BE0001164
PF13855,LRR_8,BE0001164
PF01410,COLFI,BE0000025
PF01391,Collagen,BE0000025
PF00093,VWC,BE0000025
PF01410,COLFI,BE0002140
PF01391,Collagen,BE0002140
PF00093,VWC,BE0002140
PF01410,COLFI,BE0002130
PF01391,Collagen,BE0002130
PF00093,VWC,BE0002130
PF01410,COLFI,BE0002141
PF01391,Collagen,BE0002141
PF00041,fn3,BE0000075
PF09067,EpoR_lig-bind,BE0000075
PF12772,GHBP,BE0000075
PF09067,EpoR_lig-bind,BE0000345
PF07974,EGF_2,BE0001155
PF00362,Integrin_beta,BE0001155
PF08725,Integrin_b_cyt,BE0001155
PF07965,Integrin_B_tail,BE0001155
PF01839,FG-GAP,BE0000439
PF00357,Integrin_alpha,BE0000439
PF08441,Integrin_alpha2,BE0000439
PF00045,Hemopexin,BE0001068
PF01033,Somatomedin_B,BE0001068
PF00394,Cu-oxidase,BE0000016
PF07731,Cu-oxidase_2,BE0000016
PF07732,Cu-oxidase_3,BE0000016
PF00754,F5_F8_type_C,BE0000016
PF07732,Cu-oxidase_3,BE0000041
PF00754,F5_F8_type_C,BE0000041
PF07645,EGF_CA,BE0001151
PF00059,Lectin_C,BE0001151
PF09064,Tme5_EGF_like,BE0001151
PF00008,EGF,BE0000943
PF00594,Gla,BE0000943
PF07645,EGF_CA,BE0000943
PF00054,Laminin_G_1,BE0000943
PF02210,Laminin_G_2,BE0000943
PF00048,IL8,BE0001129
PF00079,Serpin,BE0002142
PF16497,MHC_I_3,BE0001161
PF00047,ig,BE0000674
PF07686,V-set,BE0000674
PF00089,Trypsin,BE0000394
PF00017,SH2,BE0000917
PF00018,SH3_1,BE0000917
PF00019,TGF_beta,BE0000984
PF00688,TGFb_propeptide,BE0000984
PF00675,Peptidase_M16,BE0001183
PF05193,Peptidase_M16_C,BE0001183
PF16187,Peptidase_M16_M,BE0001183
PF07654,C1-set,BE0002122
PF00993,MHC_II_alpha,BE0002122
PF16196,C1-set_C,BE0002122
PF07654,C1-set,BE0004466
PF00969,MHC_II_beta,BE0004466
PF07966,A1_Propeptide,BE0000941
PF00026,Asp,BE0000941
PF00082,Peptidase_S8,BE0002124
PF01483,P_proprotein,BE0002124
PF16470,S8_pro-domain,BE0002124
PF00082,Peptidase_S8,BE0002125
PF01483,P_proprotein,BE0002125
PF16470,S8_pro-domain,BE0002125
PF12177,Proho_convert,BE0002125
PF00093,VWC,BE0001147
PF00219,IGFBP,BE0001147
PF00007,Cys_knot,BE0001147
PF07679,I-set,BE0002126
PF00219,IGFBP,BE0002126
PF07648,Kazal_2,BE0002126
PF00168,C2,BE0002127
PF02318,FYVE_2,BE0002127
PF07714,Pkinase_Tyr,BE0000511
PF00757,Furin-like,BE0000511
PF01030,Recep_L_domain,BE0000511
PF14843,GF_recep_IV,BE0000511
PF04103,CD20,BE0000066
PF02189,ITAM,BE0003456
PF16680,Ig_4,BE0003456
PF02189,ITAM,BE0000274
PF02189,ITAM,BE0003457
PF16680,Ig_4,BE0003457
PF02189,ITAM,BE0003458
PF11628,TCR_zetazeta,BE0003458
PF00835,SNAP-25,BE0000390
PF00071,Ras,BE0003572
PF00001,7tm_1,BE0000928
PF15116,CD52,BE0000083
PF02225,PA,BE0000568
PF04389,Peptidase_M28,BE0000568
PF04253,TFR_dimer,BE0000568
PF14963,CAML,BE0000379
PF13499,EF-hand_7,BE0002143
PF00160,Pro_isomerase,BE0001014
PF00160,Pro_isomerase,BE0001399
PF07686,V-set,BE0000719
PF05790,C2-set,BE0000719
PF01839,FG-GAP,BE0000516
PF00357,Integrin_alpha,BE0000516
